variable,σ² señal,σ² ruido,SNR (dB),σ ruido
Agro_1,110.60645309770058,7.655108497570132,11.598291152624888,2.7667866736649813
Agro_2,70.74030331891242,16.974012576857945,6.198823980119426,4.1199529823601075
Agro_3,133.58827437722832,11.163938332126087,10.77950911052913,3.3412480201454793
Agro_4,37226.700673978805,5894.960730287408,8.003736309397764,76.77864761955246
Agro_5,0.1438115380063892,0.023729375310490703,7.825074255964099,0.15404342021161016
Agro_6,0.35194738540287007,0.04981320925155063,8.491332208366,0.223188730117698
Agro_7,63.25976125727169,19.983746677171215,5.004506327971081,4.470318408924717
Agro_8,0.00984910054226813,0.0013132783360203628,8.750397907121531,0.03623918233101242
Agro_9,0.0024981080219074136,0.0002983327234215439,9.229103212586926,0.017272310888284285
Agro_10,2.3175792759037726,0.23529695481923665,9.934182920620993,0.48507417455399193
Latitude,0.0034023690482958423,0.00010350603080122658,15.168157641101107,0.010173791368080366
Longitude,0.003285129874738731,0.0,,0.0
Ener_1,208.41015031296095,34.390573785877784,7.824794450004218,5.864347686305595
Ener_2,479.26456987324343,41.310210174726876,10.645179199614038,6.427301935861336
Ener_3,13.059007154889132,2.2722423126434412,7.594555170120181,1.5073958712439945
Ener_4,200.20324961592726,28.05798685250148,8.534146151048095,5.296979030777966
Ener_5,41.887892569888265,2.70527196188219,11.89877579629867,1.6447710971081022
Ener_6,3293.742881201559,329.99615913639065,9.991808088093528,18.165796407985823
Ener_7,134.1493443863421,16.643558403656257,9.063423702065117,4.07965175029147
Ener_8,0.00040477732774964767,2.6268096575805865e-05,11.877875746366504,0.005125241123674657
Ener_9,0.24962703307224854,0.020263408607523733,10.90579113000201,0.14234959995561539
Ener_10,0.00010164830987024029,2.4677309222890428e-05,6.148023588020099,0.00496762611544895
Latitude,3.4419853489020324,0.002489780538935698,31.406479493772423,0.04989770073796686
Longitude,2.077397520347558,0.0,,0.0
